x,rho_exact,rho_fdm,rho_present
-4.000000e-03,1.000000e+00,1.000000e+00,1.000000e+00
0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
4.000000e-03,1.000000e+00,1.000000e+00,1.000000e+00
8.000000e-03,1.000000e+00,1.000000e+00,1.000000e+00
1.200000e-02,1.000000e+00,1.000000e+00,1.000000e+00
1.600000e-02,1.000000e+00,1.000000e+00,1.000000e+00
2.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00
2.400000e-02,1.000000e+00,1.000000e+00,1.000000e+00
2.800000e-02,1.000000e+00,1.000000e+00,1.000000e+00
3.200000e-02,1.000000e+00,1.000000e+00,1.000000e+00
3.600000e-02,1.000000e+00,1.000000e+00,1.000000e+00
4.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00
4.400000e-02,1.000000e+00,1.000000e+00,1.000000e+00
4.800000e-02,1.000000e+00,1.000000e+00,1.000000e+00
5.200000e-02,1.000000e+00,1.000000e+00,1.000000e+00
5.600000e-02,1.000000e+00,1.000000e+00,1.000000e+00
6.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00
6.400000e-02,1.000000e+00,1.000000e+00,1.000000e+00
6.800000e-02,1.000000e+00,1.000000e+00,1.000000e+00
7.200000e-02,1.000000e+00,1.000000e+00,1.000000e+00
7.600000e-02,1.000000e+00,1.000000e+00,1.000000e+00
8.000000e-02,1.000000e+00,1.000000e+00,1.000000e+00
8.400000e-02,1.000000e+00,1.000000e+00,1.000000e+00
8.800000e-02,1.000000e+00,1.000000e+00,1.000000e+00
9.200000e-02,1.000000e+00,1.000000e+00,1.000000e+00
9.600000e-02,1.000000e+00,1.000000e+00,1.000000e+00
1.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.040000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.080000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.120000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.160000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.200000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.240000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.280000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.320000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.360000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.400000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.440000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.480000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.520000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.560000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.600000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.640000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.680000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.720000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.760000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.800000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.840000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.880000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.920000e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.960000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.000000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.040000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.080000e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.120000e-01,1.000000e+00,1.000000e+00,1.000000e+00
