x,rho_exact,rho_fdm,rho_present,u_exact,u_fdm,u_present,P_exact,P_fdm,P_present
-1.00000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,1.87715846e-12,-1.37605613e-11,1.00000000e+00,1.00000000e+00,1.00000000e+00
2.08996151e-03,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,1.87715846e-12,-1.37605613e-11,1.00000000e+00,1.00000000e+00,1.00000000e+00
7.17359816e-03,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,8.25640378e-12,-2.39008960e-11,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.62484872e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,1.95053760e-11,-4.31536823e-12,1.00000000e+00,1.00000000e+00,1.00000000e+00
2.94357654e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,6.52361737e-11,2.06704678e-10,1.00000000e+00,1.00000000e+00,1.00000000e+00
4.20653990e-02,1.00000000e+00,1.00000000e+00,9.99999999e-01,0.00000000e+00,2.77558037e-10,1.27619942e-09,1.00000000e+00,1.00000000e+00,9.99999999e-01
4.81375146e-02,1.00000000e+00,9.99999999e-01,9.99999997e-01,0.00000000e+00,1.09906487e-09,3.78746684e-09,1.00000000e+00,9.99999999e-01,9.99999996e-01
6.22257558e-02,1.00000000e+00,9.99999998e-01,9.99999991e-01,0.00000000e+00,2.58253434e-09,1.04988828e-08,1.00000000e+00,9.99999997e-01,9.99999988e-01
7.33271766e-02,1.00000000e+00,9.99999991e-01,9.99999982e-01,0.00000000e+00,1.03353440e-08,2.13821350e-08,1.00000000e+00,9.99999988e-01,9.99999975e-01
7.62651792e-02,1.00000000e+00,9.99999972e-01,9.99999976e-01,0.00000000e+00,3.34217941e-08,2.81818723e-08,1.00000000e+00,9.99999960e-01,9.99999967e-01
9.07315744e-02,1.00000000e+00,9.99999956e-01,9.99999981e-01,0.00000000e+00,5.21100104e-08,2.06856603e-08,1.00000000e+00,9.99999938e-01,9.99999976e-01
