x,rho_exact,rho_fdm,rho_present,rho_muscl_tvd,u_exact,u_fdm,u_present,u_muscl_tvd,P_exact,P_fdm,P_present,P_muscl_tvd
-4.00000000e-03,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
4.00000000e-03,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
8.00000000e-03,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.20000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.60000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
2.00000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
2.40000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
2.80000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
3.20000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,3.50444963e-17,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
3.60000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,1.10609684e-16,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
4.00000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,1.97128202e-16,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
4.40000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,9.19945333e-17,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
4.80000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,-5.51402708e-16,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
5.20000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,-3.22136074e-15,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
5.60000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,-1.13336903e-14,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
6.00000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,-2.82909309e-14,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
6.40000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,-7.25401799e-14,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
6.80000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,-1.98216369e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
7.20000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,-1.61072065e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
7.60000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,1.49463082e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
8.00000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,1.97676945e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
8.40000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,1.65144823e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
8.80000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,2.11613078e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
9.20000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,4.16196602e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
9.60000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,8.60480073e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.00000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,1.65014590e-12,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.04000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,2.81183141e-12,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.08000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,3.99386508e-12,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.12000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,1.86702222e-17,3.72208044e-12,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
