x,u
0.0,0.9999915
0.0012515645,0.9999914
0.002503129,0.9999911
0.0037546933,0.9999909
0.005006258,0.9999909
0.0062578223,0.9999909
0.0075093866,0.99999076
0.008760951,0.9999904
0.010012516,0.9999904
0.01126408,0.99999046
0.012515645,0.9999901
0.013767209,0.9999901
0.015018773,0.99999
0.016270338,0.9999897
0.017521903,0.9999899
0.018773466,0.99998957
0.020025032,0.99998945
0.021276595,0.99998933
0.02252816,0.9999892
0.023779724,0.9999892
0.02503129,0.9999891
0.026282854,0.99998873
0.027534418,0.9999888
0.028785983,0.9999887
0.030037547,0.9999885
0.03128911,0.9999887
0.032540675,0.9999884
0.03379224,0.99998826
0.035043806,0.999988
0.03629537,0.99998826
0.037546933,0.9999879
0.0387985,0.9999878
0.040050063,0.9999879
0.041301627,0.9999875
0.04255319,0.9999874
0.043804757,0.99998754
0.04505632,0.9999872
0.046307884,0.99998695
0.047559448,0.99998707
0.048811015,0.99998695
0.05006258,0.99998695
0.05131414,0.99998665
0.05256571,0.9999867
0.053817272,0.99998635
0.055068836,0.99998647
0.0563204,0.99998635
0.057571966,0.99998623
0.05882353,0.9999861
0.060075093,0.999986
0.061326656,0.9999857
0.06257822,0.9999859
0.06382979,0.99998575
0.06508135,0.9999855
0.066332914,0.9999855
0.06758448,0.99998534
0.06883605,0.9999853
0.07008761,0.99998516
0.071339175,0.9999849
0.07259074,0.999985
0.0738423,0.9999849
0.075093865,0.9999849
0.07634543,0.9999846
0.077597,0.9999847
0.07884856,0.99998444
0.08010013,0.9999845
0.08135169,0.99998456
0.08260325,0.9999843
0.08385482,0.9999843
0.08510638,0.9999841
0.08635794,0.9999841
0.087609515,0.99998385
0.08886108,0.99998397
0.09011264,0.99998367
0.091364205,0.9999836
0.09261577,0.9999835
0.09386733,0.9999836
0.095118895,0.9999835
0.096370466,0.99998325
0.09762203,0.99998325
0.09887359,0.99998313
0.10012516,0.99998313
0.10137672,0.99998313
0.10262828,0.999983
0.10387985,0.99998295
0.10513142,0.99998283
0.10638298,0.9999828
0.107634544,0.99998266
0.10888611,0.99998266
0.11013767,0.99998254
0.111389235,0.9999825
0.1126408,0.9999823
0.11389237,0.9999823
0.11514393,0.9999822
0.116395496,0.999982
0.11764706,0.9999822
0.11889862,0.999982
0.120150186,0.999982
0.12140175,0.99998194
0.12265331,0.9999818
0.123904884,0.99998146
0.12515645,0.99998164
0.12640801,0.99998134
0.12765957,0.99998134
0.12891114,0.99998134
0.1301627,0.99998134
0.13141426,0.9999812
0.13266583,0.99998134
0.13391739,0.9999811
0.13516895,0.999981
0.13642053,0.9999808
0.1376721,0.9999811
0.13892366,0.99998087
0.14017522,0.999981
0.14142679,0.99998075
0.14267835,0.9999806
0.14392991,0.9999806
0.14518148,0.9999806
0.14643304,0.9999806
0.1476846,0.9999804
0.14893617,0.9999805
0.15018773,0.9999805
0.1514393,0.9999804
0.15269086,0.99998003
0.15394242,0.99998003
0.155194,0.99998015
0.15644556,0.99998003
0.15769713,0.9999799
0.15894869,0.99997985
0.16020025,0.99997985
0.16145182,0.9999799
0.16270338,0.9999797
0.16395494,0.9999798
0.1652065,0.9999797
0.16645807,0.99997956
0.16770963,0.99997956
0.1689612,0.9999793
0.17021276,0.99997944
0.17146432,0.99997944
0.17271589,0.9999793
0.17396747,0.9999792
0.17521903,0.9999793
0.1764706,0.9999792
0.17772216,0.9999792
0.17897372,0.9999792
0.18022528,0.9999792
0.18147685,0.9999792
0.18272841,0.999979
0.18397997,0.99997884
0.18523154,0.99997896
0.1864831,0.99997884
0.18773466,0.99997884
0.18898623,0.99997884
0.19023779,0.99997884
0.19148937,0.9999787
0.19274093,0.9999787
0.1939925,0.9999786
0.19524406,0.9999786
0.19649562,0.99997854
0.19774719,0.99997854
0.19899875,0.99997836
0.20025031,0.99997836
0.20150188,0.99997854
0.20275344,0.99997836
0.204005,0.9999781
0.20525657,0.99997824
0.20650813,0.9999782
0.2077597,0.9999782
0.20901126,0.9999781
0.21026284,0.9999779
0.2115144,0.9999781
0.21276596,0.9999779
0.21401753,0.9999779
0.21526909,0.999978
0.21652065,0.9999779
0.21777222,0.99997765
0.21902378,0.9999778
0.22027534,0.99997777
0.2215269,0.99997777
0.22277847,0.99997765
0.22403003,0.99997777
0.2252816,0.9999775
0.22653316,0.9999775
0.22778474,0.9999775
0.2290363,0.99997735
0.23028786,0.99997765
0.23153943,0.9999774
0.23279099,0.9999774
0.23404256,0.9999775
0.23529412,0.9999773
0.23654568,0.9999772
0.23779725,0.99997735
0.23904881,0.99997705
0.24030037,0.9999772
0.24155194,0.9999772
0.2428035,0.9999772
0.24405506,0.99997705
0.24530663,0.99997705
0.2465582,0.99997705
0.24780977,0.9999772
0.24906133,0.99997705
0.2503129,0.99997705
0.25156444,0.9999768
0.25281602,0.99997693
0.25406757,0.99997705
0.25531915,0.99997705
0.25657073,0.999977
0.25782228,0.9999768
0.25907385,0.99997663
0.2603254,0.9999768
0.26157698,0.99997693
0.26282853,0.9999767
0.2640801,0.9999766
0.26533166,0.9999768
0.26658323,0.9999768
0.26783478,0.99997646
0.26908636,0.99997663
0.2703379,0.9999766
0.2715895,0.99997663
0.27284107,0.99997646
0.2740926,0.99997646
0.2753442,0.9999765
0.27659574,0.9999764
0.27784732,0.99997646
0.27909887,0.9999764
0.28035045,0.9999762
0.281602,0.9999762
0.28285357,0.99997646
0.28410512,0.9999762
0.2853567,0.999976
0.28660825,0.9999762
0.28785983,0.99997616
0.28911138,0.9999762
0.29036295,0.9999761
0.29161453,0.999976
0.29286608,0.99997604
0.29411766,0.99997604
0.2953692,0.99997634
0.2966208,0.99997586
0.29787233,0.99997586
0.2991239,0.99997586
0.30037546,0.9999757
0.30162704,0.99997586
0.3028786,0.99997586
0.30413017,0.99997586
0.30538172,0.99997586
0.3066333,0.99997574
0.30788484,0.9999756
0.30913642,0.99997556
0.310388,0.9999757
0.31163955,0.9999757
0.31289113,0.9999756
0.31414267,0.99997586
0.31539425,0.9999754
0.3166458,0.99997556
0.31789738,0.9999755
0.31914893,0.9999756
0.3204005,0.9999754
0.32165205,0.9999754
0.32290363,0.99997556
0.32415518,0.9999754
0.32540676,0.99997556
0.3266583,0.99997514
0.3279099,0.9999753
0.32916147,0.9999754
0.330413,0.999975
0.3316646,0.999975
0.33291614,0.999975
0.33416772,0.999975
0.33541927,0.9999749
0.33667085,0.999975
0.3379224,0.999975
0.33917397,0.999975
0.34042552,0.9999749
0.3416771,0.99997485
0.34292865,0.9999748
0.34418023,0.9999748
0.34543177,0.99997485
