x,rho,u,p
0.0,1.0053263,-0.003985606,0.9987188
0.0012515645,1.0053349,-0.0039934143,0.99871737
0.002503129,1.0053432,-0.0040005073,0.9987157
0.0037546933,1.0053518,-0.004007362,0.99871427
0.005006258,1.0053599,-0.0040141568,0.99871296
0.0062578223,1.0053678,-0.0040207133,0.9987116
0.0075093866,1.0053759,-0.00402721,0.99871033
0.008760951,1.0053837,-0.004033409,0.99870926
0.010012516,1.0053914,-0.004039727,0.9987082
0.01126408,1.0053989,-0.004045509,0.998707
0.012515645,1.0054063,-0.004051231,0.998706
0.013767209,1.0054138,-0.0040568933,0.9987051
0.015018773,1.0054209,-0.0040623173,0.99870425
0.016270338,1.0054278,-0.004067801,0.9987033
0.017521903,1.005435,-0.0040731058,0.9987026
0.018773466,1.0054419,-0.0040784106,0.99870205
0.020025032,1.0054488,-0.0040835366,0.9987013
0.021276595,1.0054555,-0.004088305,0.99870074
0.02252816,1.0054622,-0.0040933117,0.9987001
0.023779724,1.0054687,-0.004097961,0.99869967
0.02503129,1.0054753,-0.0041029677,0.9986991
0.026282854,1.0054815,-0.0041077957,0.99869865
0.027534418,1.0054879,-0.0041125044,0.9986983
0.028785983,1.0054941,-0.0041168556,0.9986979
0.030037547,1.0055003,-0.0041218624,0.99869746
0.03128911,1.0055063,-0.004126452,0.9986971
0.032540675,1.0055125,-0.004131101,0.99869686
0.03379224,1.0055186,-0.0041359887,0.9986966
0.035043806,1.0055244,-0.004140757,0.9986965
0.03629537,1.0055302,-0.004145406,0.9986961
0.037546933,1.0055361,-0.0041501746,0.998696
0.0387985,1.0055419,-0.004154764,0.9986959
0.040050063,1.0055476,-0.0041598305,0.9986957
0.041301627,1.0055532,-0.0041648373,0.99869555
0.04255319,1.0055592,-0.0041696653,0.99869543
0.043804757,1.0055647,-0.0041747913,0.9986953
0.04505632,1.0055702,-0.0041800365,0.9986951
0.046307884,1.005576,-0.004185103,0.99869514
0.047559448,1.0055815,-0.004190527,0.998695
0.048811015,1.0055871,-0.004195951,0.9986949
0.05006258,1.0055927,-0.0042013153,0.998695
0.05131414,1.0055984,-0.004206799,0.99869496
0.05256571,1.0056039,-0.00421264,0.9986949
0.053817272,1.0056095,-0.0042186603,0.9986947
0.055068836,1.0056151,-0.0042246208,0.99869484
0.0563204,1.0056208,-0.0042308792,0.9986949
0.057571966,1.0056266,-0.0042370185,0.9986947
0.05882353,1.0056322,-0.0042435154,0.9986947
0.060075093,1.005638,-0.004250191,0.9986949
0.061326656,1.005644,-0.0042570457,0.9986949
0.06257822,1.0056498,-0.004263781,0.99869484
0.06382979,1.0056558,-0.004271172,0.99869496
0.06508135,1.005662,-0.004278682,0.9986951
0.066332914,1.005668,-0.004286252,0.99869525
0.06758448,1.0056741,-0.00429406,0.9986953
0.06883605,1.0056807,-0.0043022856,0.99869555
0.07008761,1.0056869,-0.0043105707,0.99869573
0.071339175,1.0056936,-0.0043191537,0.9986959
0.07259074,1.0057001,-0.0043279156,0.99869627
0.0738423,1.0057071,-0.0043368563,0.9986966
